date,year,market,currency,price
2005-04-22,2005,EU_ETS,EUR,7.17
2005-04-25,2005,EU_ETS,EUR,7.13
2005-04-26,2005,EU_ETS,EUR,7.44
2005-04-27,2005,EU_ETS,EUR,7.38
2005-04-28,2005,EU_ETS,EUR,7.38
2005-04-29,2005,EU_ETS,EUR,7.43
2005-05-02,2005,EU_ETS,EUR,7.6
2005-05-03,2005,EU_ETS,EUR,7.83
2005-05-04,2005,EU_ETS,EUR,7.8
2005-05-05,2005,EU_ETS,EUR,7.69
2005-05-06,2005,EU_ETS,EUR,7.75
2005-05-09,2005,EU_ETS,EUR,8.15
2005-05-10,2005,EU_ETS,EUR,8.24
2005-05-11,2005,EU_ETS,EUR,8.16
2005-05-12,2005,EU_ETS,EUR,8.05
2005-05-13,2005,EU_ETS,EUR,8.61
2005-05-16,2005,EU_ETS,EUR,8.77
2005-05-17,2005,EU_ETS,EUR,8.19
2005-05-18,2005,EU_ETS,EUR,8.97
2005-05-19,2005,EU_ETS,EUR,8.69
2005-05-20,2005,EU_ETS,EUR,8.84
2005-05-23,2005,EU_ETS,EUR,9.25
2005-05-24,2005,EU_ETS,EUR,9.44
2005-05-25,2005,EU_ETS,EUR,9.35
2005-05-26,2005,EU_ETS,EUR,9.24
2005-05-27,2005,EU_ETS,EUR,8.94
2005-05-30,2005,EU_ETS,EUR,8.97
2005-05-31,2005,EU_ETS,EUR,9.72
2005-06-01,2005,EU_ETS,EUR,9.9
2005-06-02,2005,EU_ETS,EUR,9.44
2005-06-03,2005,EU_ETS,EUR,9.63
2005-06-06,2005,EU_ETS,EUR,9.75
2005-06-07,2005,EU_ETS,EUR,9.81
2005-06-08,2005,EU_ETS,EUR,10.29
2005-06-09,2005,EU_ETS,EUR,10.14
2005-06-10,2005,EU_ETS,EUR,10.09
2005-06-13,2005,EU_ETS,EUR,11.05
2005-06-14,2005,EU_ETS,EUR,10.04
2005-06-15,2005,EU_ETS,EUR,10.61
2005-06-16,2005,EU_ETS,EUR,10.26
2005-06-17,2005,EU_ETS,EUR,10.56
2005-06-20,2005,EU_ETS,EUR,10.83
2005-06-21,2005,EU_ETS,EUR,11.09
2005-06-22,2005,EU_ETS,EUR,10.85
2005-06-23,2005,EU_ETS,EUR,10.88
2005-06-24,2005,EU_ETS,EUR,10.97
2005-06-27,2005,EU_ETS,EUR,10.94
2005-06-28,2005,EU_ETS,EUR,11.48
2005-06-29,2005,EU_ETS,EUR,11.45
