year,country,iso3,region,coal_pct,oil_pct,gas_pct,nuclear_pct,hydro_pct,solar_pct,wind_pct,other_renewables_pct,renewables_total_pct,fossil_total_pct
2000,China,CHN,Asia,68.0,21.98,2.78,0.87,6.36,0.01,0.0,0.0,6.37,92.75
2001,China,CHN,Asia,67.64,21.35,3.36,0.97,6.46,0.0,0.04,0.17,6.68,92.36
2002,China,CHN,Asia,67.56,21.21,3.19,1.3,6.38,0.0,0.35,0.03,6.76,91.95
2003,China,CHN,Asia,67.69,20.71,3.24,1.3,6.33,0.07,0.33,0.34,7.06,91.64
2004,China,CHN,Asia,67.76,20.44,3.48,1.02,6.57,0.02,0.2,0.5,7.29,91.68
2005,China,CHN,Asia,68.31,19.85,3.38,1.28,6.61,0.11,0.18,0.26,7.17,91.55
2006,China,CHN,Asia,68.25,19.37,3.61,1.05,6.49,0.24,0.55,0.43,7.72,91.23
2007,China,CHN,Asia,68.07,19.19,3.68,0.75,6.78,0.1,0.86,0.57,8.3,90.95
2008,China,CHN,Asia,69.45,18.99,3.86,0.81,6.5,0.0,0.39,0.0,6.89,92.3
2009,China,CHN,Asia,68.82,18.36,3.86,0.87,6.83,0.43,0.58,0.25,8.1,91.03
2010,China,CHN,Asia,69.29,18.07,3.86,0.85,7.23,0.02,0.28,0.39,7.93,91.22
2011,China,CHN,Asia,67.44,17.45,4.35,1.16,7.23,0.72,1.04,0.6,9.59,89.24
2012,China,CHN,Asia,67.02,18.01,4.79,1.19,7.23,0.48,0.96,0.32,8.99,89.83
2013,China,CHN,Asia,66.72,18.09,5.35,0.99,7.31,0.35,1.19,0.0,8.85,90.17
2014,China,CHN,Asia,64.38,17.85,5.75,1.14,7.93,0.93,1.72,0.3,10.88,87.98
2015,China,CHN,Asia,63.88,17.99,6.22,0.53,7.9,0.93,2.22,0.31,11.37,88.1
2016,China,CHN,Asia,62.66,18.59,6.2,0.98,8.0,1.34,2.0,0.23,11.57,87.45
2017,China,CHN,Asia,61.2,18.57,6.7,1.39,7.98,2.13,2.03,0.01,12.15,86.47
2018,China,CHN,Asia,59.64,18.33,7.13,1.57,7.85,2.21,3.02,0.25,13.32,85.11
2019,China,CHN,Asia,57.9,18.64,7.55,1.44,8.04,2.49,3.43,0.51,14.47,84.09
2020,China,CHN,Asia,56.73,18.63,7.86,1.74,7.79,3.22,3.76,0.27,15.04,83.22
2021,China,CHN,Asia,56.32,18.79,8.39,1.65,7.7,3.61,3.24,0.29,14.84,83.51
2022,China,CHN,Asia,55.19,18.47,8.42,1.92,8.12,4.03,3.6,0.26,16.01,82.08
2023,China,CHN,Asia,54.41,18.45,8.84,2.23,7.82,4.36,3.8,0.1,16.07,81.7
2024,China,CHN,Asia,53.54,18.17,9.13,1.93,8.09,5.02,4.12,0.0,17.23,80.84
2025,China,CHN,Asia,53.38,17.62,9.7,2.39,7.56,5.32,4.02,0.01,16.91,80.7
2026,China,CHN,Asia,52.06,17.02,9.96,2.98,8.18,5.85,3.95,0.0,17.98,79.04
2000,United States,USA,North America,24.24,39.01,23.82,7.96,3.1,0.0,0.0,1.87,4.96,87.07
2001,United States,USA,North America,23.96,38.87,24.1,7.86,3.03,0.0,0.04,2.15,5.21,86.93
2002,United States,USA,North America,23.72,38.69,24.28,8.14,2.88,0.0,0.08,2.2,5.17,86.69
2003,United States,USA,North America,23.45,38.76,24.32,8.04,3.19,0.0,0.13,2.1,5.43,86.54
2004,United States,USA,North America,22.98,37.97,24.0,8.25,3.17,0.0,0.78,2.85,6.81,84.95
2005,United States,USA,North America,22.65,38.3,24.56,8.52,2.94,0.21,0.48,2.34,5.97,85.51
2006,United States,USA,North America,22.81,37.98,24.41,8.29,3.41,0.0,0.57,2.53,6.5,85.21
2007,United States,USA,North America,22.8,38.11,24.92,8.43,2.73,0.0,0.65,2.37,5.75,85.82
2008,United States,USA,North America,22.43,36.96,24.95,9.11,2.93,0.17,0.55,2.91,6.56,84.33
2009,United States,USA,North America,22.11,37.01,24.86,8.81,2.94,0.28,0.74,3.25,7.21,83.98
2010,United States,USA,North America,21.68,37.23,24.74,8.98,2.89,0.03,1.16,3.29,7.38,83.65
2011,United States,USA,North America,21.12,37.07,25.74,8.68,2.81,0.0,1.12,3.46,7.39,83.93
2012,United States,USA,North America,19.36,37.26,26.7,8.89,2.9,0.02,1.5,3.36,7.79,83.32
2013,United States,USA,North America,18.65,37.02,27.21,8.07,3.19,0.38,1.54,3.93,9.04,82.89
2014,United States,USA,North America,17.28,37.06,27.7,8.38,2.88,0.3,1.52,4.88,9.58,82.04
2015,United States,USA,North America,15.86,37.33,28.13,8.07,2.94,0.73,2.0,4.93,10.6,81.32
2016,United States,USA,North America,15.01,36.95,28.98,8.16,3.0,1.08,2.22,4.58,10.89,80.95
2017,United States,USA,North America,13.87,36.71,30.02,7.88,2.92,1.63,2.52,4.45,11.52,80.6
2018,United States,USA,North America,12.68,36.12,31.12,7.66,3.08,2.14,2.88,4.31,12.42,79.92
2019,United States,USA,North America,10.96,36.41,31.84,7.98,2.75,2.43,3.43,4.19,12.81,79.21
2020,United States,USA,North America,9.88,36.72,33.3,7.87,2.68,2.4,3.25,3.92,12.24,79.89
2021,United States,USA,North America,9.61,35.53,33.68,7.82,3.0,3.37,3.67,3.31,13.35,78.83
2022,United States,USA,North America,8.67,35.72,34.32,8.19,2.97,3.61,4.12,2.4,13.11,78.7
2023,United States,USA,North America,8.73,35.13,35.44,7.93,3.07,3.91,4.26,1.54,12.78,79.29
2024,United States,USA,North America,8.08,35.14,36.03,8.02,3.04,4.39,4.49,0.8,12.73,79.25
2025,United States,USA,North America,7.49,35.32,36.16,8.26,2.61,4.75,4.68,0.73,12.77,78.97
2026,United States,USA,North America,5.95,35.04,36.18,7.77,3.08,6.0,5.07,0.9,15.05,77.18
2000,India,IND,Asia,54.88,31.75,8.29,0.84,3.13,0.0,0.0,1.12,4.24,94.92
2001,India,IND,Asia,55.16,31.25,7.63,1.26,3.27,0.38,0.1,0.95,4.69,94.05
2002,India,IND,Asia,54.54,31.1,8.17,1.33,3.44,0.1,0.2,1.14,4.87,93.81
2003,India,IND,Asia,54.9,30.75,8.52,1.09,2.88,0.03,0.01,1.81,4.73,94.17
2004,India,IND,Asia,54.7,30.7,8.78,0.97,2.76,0.15,0.23,1.71,4.85,94.18
2005,India,IND,Asia,54.62,30.09,8.68,0.96,3.17,0.0,0.46,2.04,5.66,93.39
2006,India,IND,Asia,54.56,29.49,9.22,1.2,2.8,0.0,0.32,2.4,5.52,93.28
2007,India,IND,Asia,54.59,29.19,9.47,0.76,2.81,0.0,0.49,2.69,5.98,93.25
2008,India,IND,Asia,53.94,28.83,9.41,1.15,2.79,0.01,0.81,3.06,6.66,92.19
2009,India,IND,Asia,54.16,28.25,9.93,1.43,2.67,0.0,0.85,2.71,6.24,92.34
2010,India,IND,Asia,54.13,27.84,10.32,0.72,2.97,0.21,1.0,2.81,6.99,92.29
2011,India,IND,Asia,54.39,28.09,9.49,1.05,2.93,0.26,1.13,2.65,6.98,91.98
2012,India,IND,Asia,55.47,28.1,9.12,0.9,3.38,0.18,1.04,1.81,6.42,92.69
2013,India,IND,Asia,54.43,27.74,8.72,1.23,3.94,0.45,1.56,1.93,7.88,90.9
2014,India,IND,Asia,55.36,28.08,8.5,1.13,3.72,0.39,1.32,1.51,6.93,91.94
2015,India,IND,Asia,55.81,27.94,7.52,1.34,3.95,0.59,1.79,1.06,7.39,91.26
2016,India,IND,Asia,55.46,27.14,8.81,1.21,4.01,1.18,1.26,0.94,7.38,91.41
2017,India,IND,Asia,55.26,26.71,8.87,1.1,4.38,0.98,1.81,0.88,8.05,90.84
2018,India,IND,Asia,55.22,26.8,9.07,1.09,3.81,1.87,1.38,0.76,7.82,91.09
2019,India,IND,Asia,54.3,26.47,9.54,1.01,4.14,2.32,1.44,0.79,8.69,90.31
2020,India,IND,Asia,54.32,26.24,9.76,0.83,3.88,2.47,1.36,1.15,8.85,90.32
2021,India,IND,Asia,53.88,26.02,9.81,0.98,3.76,3.17,1.57,0.81,9.3,89.72
2022,India,IND,Asia,52.81,25.76,9.75,1.09,3.82,4.0,1.77,0.99,10.58,88.33
2023,India,IND,Asia,52.02,25.98,9.2,1.29,4.23,4.76,1.81,0.72,11.52,87.19
2024,India,IND,Asia,52.04,26.38,9.03,0.92,3.91,5.27,2.11,0.34,11.63,87.45
2025,India,IND,Asia,51.15,25.21,9.01,1.23,3.56,6.64,2.16,1.03,13.4,85.37
2026,India,IND,Asia,49.39,24.78,8.92,1.18,4.04,7.25,2.57,1.87,15.72,83.1
2000,Russia,RUS,Eurasia,16.06,22.47,53.13,4.85,3.27,0.01,0.21,0.0,3.49,91.66
2001,Russia,RUS,Eurasia,15.91,22.68,53.12,5.05,3.16,0.0,0.0,0.08,3.25,91.7
2002,Russia,RUS,Eurasia,15.76,22.87,53.05,4.98,3.22,0.0,0.12,0.0,3.34,91.68
2003,Russia,RUS,Eurasia,15.42,22.62,53.49,5.17,2.95,0.17,0.17,0.0,3.3,91.53
2004,Russia,RUS,Eurasia,15.48,22.51,54.05,5.0,2.79,0.0,0.17,0.0,2.96,92.04
2005,Russia,RUS,Eurasia,15.51,22.67,53.56,4.97,2.96,0.08,0.25,0.0,3.28,91.75
2006,Russia,RUS,Eurasia,15.42,22.46,53.82,4.94,3.06,0.07,0.12,0.11,3.36,91.7
2007,Russia,RUS,Eurasia,15.1,22.5,54.63,5.04,2.7,0.0,0.04,0.0,2.74,92.22
2008,Russia,RUS,Eurasia,15.18,22.0,54.92,5.05,2.68,0.07,0.0,0.1,2.85,92.09
2009,Russia,RUS,Eurasia,15.09,22.04,54.9,4.92,3.02,0.03,0.0,0.0,3.05,92.04
2010,Russia,RUS,Eurasia,14.77,22.26,54.26,4.84,3.62,0.08,0.0,0.17,3.87,91.29
2011,Russia,RUS,Eurasia,14.53,22.25,54.64,5.08,3.1,0.11,0.19,0.09,3.5,91.42
2012,Russia,RUS,Eurasia,14.38,22.32,54.74,5.38,2.93,0.17,0.04,0.05,3.19,91.43
2013,Russia,RUS,Eurasia,14.44,22.36,55.01,5.65,2.32,0.07,0.0,0.15,2.54,91.81
2014,Russia,RUS,Eurasia,14.3,22.78,54.61,6.14,2.17,0.0,0.0,0.0,2.17,91.69
2015,Russia,RUS,Eurasia,14.19,23.08,54.62,5.93,2.11,0.01,0.0,0.07,2.19,91.89
2016,Russia,RUS,Eurasia,13.71,22.84,55.23,6.12,1.88,0.14,0.0,0.09,2.1,91.78
2017,Russia,RUS,Eurasia,13.53,22.44,55.74,5.82,1.86,0.25,0.0,0.36,2.48,91.7
2018,Russia,RUS,Eurasia,13.17,22.51,55.64,6.13,2.1,0.01,0.0,0.44,2.55,91.31
2019,Russia,RUS,Eurasia,13.43,22.31,55.57,6.0,1.94,0.0,0.04,0.72,2.69,91.31
2020,Russia,RUS,Eurasia,12.91,21.87,56.12,5.97,2.0,0.0,0.13,0.99,3.12,90.9
2021,Russia,RUS,Eurasia,13.13,21.98,55.64,6.28,1.75,0.23,0.0,0.98,2.97,90.75
2022,Russia,RUS,Eurasia,12.88,22.12,55.04,6.34,2.07,0.48,0.48,0.61,3.64,90.03
2023,Russia,RUS,Eurasia,13.38,21.96,55.51,6.57,2.09,0.0,0.0,0.49,2.58,90.85
2024,Russia,RUS,Eurasia,12.81,22.22,55.51,6.94,1.82,0.41,0.11,0.18,2.51,90.55
2025,Russia,RUS,Eurasia,12.46,21.84,55.57,6.82,2.27,0.29,0.36,0.38,3.31,89.87
2026,Russia,RUS,Eurasia,12.13,21.74,55.65,7.03,1.88,0.62,0.77,0.19,3.45,89.52
2000,Japan,JPN,Asia,18.07,49.02,11.68,16.06,3.79,0.0,0.43,0.95,5.17,78.78
2001,Japan,JPN,Asia,18.24,48.4,12.3,15.5,4.15,0.11,0.0,1.31,5.56,78.94
2002,Japan,JPN,Asia,18.62,47.45,12.81,15.33,4.13,0.03,0.16,1.47,5.79,78.88
