year_month,year,month,region,temp_anomaly_c,temp_anomaly_baseline,co2_ppm
2000-01,2000,1,Global,0.432,1951-1980,367.44
2000-01,2000,1,Arctic,1.5,1951-1980,
2000-01,2000,1,Northern_Hemisphere,0.468,1951-1980,
2000-01,2000,1,Southern_Hemisphere,0.32,1951-1980,
2000-01,2000,1,Tropics,0.272,1951-1980,
2000-01,2000,1,North_America,0.644,1951-1980,
2000-01,2000,1,Europe,0.696,1951-1980,
2000-01,2000,1,Asia,0.544,1951-1980,
2000-02,2000,2,Global,0.451,1951-1980,369.21
2000-02,2000,2,Arctic,1.535,1951-1980,
2000-02,2000,2,Northern_Hemisphere,0.556,1951-1980,
2000-02,2000,2,Southern_Hemisphere,0.378,1951-1980,
2000-02,2000,2,Tropics,0.27,1951-1980,
2000-02,2000,2,North_America,0.649,1951-1980,
2000-02,2000,2,Europe,0.729,1951-1980,
2000-02,2000,2,Asia,0.628,1951-1980,
2000-03,2000,3,Global,0.428,1951-1980,371.01
2000-03,2000,3,Arctic,1.551,1951-1980,
2000-03,2000,3,Northern_Hemisphere,0.573,1951-1980,
2000-03,2000,3,Southern_Hemisphere,0.308,1951-1980,
2000-03,2000,3,Tropics,0.327,1951-1980,
2000-03,2000,3,North_America,0.616,1951-1980,
2000-03,2000,3,Europe,0.733,1951-1980,
2000-03,2000,3,Asia,0.591,1951-1980,
2000-04,2000,4,Global,0.484,1951-1980,372.55
2000-04,2000,4,Arctic,1.561,1951-1980,
2000-04,2000,4,Northern_Hemisphere,0.53,1951-1980,
2000-04,2000,4,Southern_Hemisphere,0.329,1951-1980,
2000-04,2000,4,Tropics,0.293,1951-1980,
2000-04,2000,4,North_America,0.619,1951-1980,
2000-04,2000,4,Europe,0.674,1951-1980,
2000-04,2000,4,Asia,0.573,1951-1980,
2000-05,2000,5,Global,0.488,1951-1980,373.24
2000-05,2000,5,Arctic,1.552,1951-1980,
2000-05,2000,5,Northern_Hemisphere,0.627,1951-1980,
2000-05,2000,5,Southern_Hemisphere,0.298,1951-1980,
2000-05,2000,5,Tropics,0.268,1951-1980,
2000-05,2000,5,North_America,0.665,1951-1980,
2000-05,2000,5,Europe,0.73,1951-1980,
2000-05,2000,5,Asia,0.595,1951-1980,
2000-06,2000,6,Global,0.476,1951-1980,372.33
2000-06,2000,6,Arctic,1.564,1951-1980,
2000-06,2000,6,Northern_Hemisphere,0.545,1951-1980,
2000-06,2000,6,Southern_Hemisphere,0.327,1951-1980,
2000-06,2000,6,Tropics,0.321,1951-1980,
2000-06,2000,6,North_America,0.687,1951-1980,
2000-06,2000,6,Europe,0.733,1951-1980,
2000-06,2000,6,Asia,0.503,1951-1980,
2000-07,2000,7,Global,0.401,1951-1980,370.95
2000-07,2000,7,Arctic,1.604,1951-1980,
2000-07,2000,7,Northern_Hemisphere,0.575,1951-1980,
2000-07,2000,7,Southern_Hemisphere,0.326,1951-1980,
2000-07,2000,7,Tropics,0.258,1951-1980,
2000-07,2000,7,North_America,0.62,1951-1980,
2000-07,2000,7,Europe,0.782,1951-1980,
2000-07,2000,7,Asia,0.585,1951-1980,
2000-08,2000,8,Global,0.426,1951-1980,369.07
2000-08,2000,8,Arctic,1.601,1951-1980,
